City,lat,lon
Den Dungen,51.666667,5.366667
s-Hertogenbosch,51.683333,5.3
Oss,51.7612,5.514
Nuenen,51.466667,5.55
Nuland,51.733333,5.433333
Nistelrode,51.7,5.566667
Meierij,52.49513,5.48013
Veldhoven,51.4213078,5.4036134
Eersel,51.3578,5.3159
Oirschot,51.5044,5.3085
Sint-Oedenrode,51.5655,5.462
Tongelre,51.4478,5.52
Vught,51.6533,5.2943
Erp,51.600724,5.6058639
Tilburg,51.555123,5.0904925
Schijndel,51.6199867,5.4343358
Helvoirt,51.63268232,5.229543506
Hintham,51.7,5.35
Rosmalen,51.7171512,5.3624425
Boxtel,51.5884671,5.3263468
Aarle,51.508889,5.637778
Boekel,51.6028596,5.6737838
Grave,51.766667,5.733333
Maasland,51.9375915,4.2720801
Zeeland,51.56981088,3.823956666
Lierop,51.4197045,5.6822691
Herlaar,51.11973792,4.749069896
Oisterwijk,51.5654,5.203
Holland,51.57963034,5.713979463
Bommelerwaard,51.78701379,5.286219235
Eerde,51.6035578,5.4978073
Netersel,51.40470328,5.209917263
Zeelst,51.4241728,5.4158149
Riethoven,51.3528568,5.3858191
Handel,51.57936365,5.714151124
Kevelaer,51.59166462,6.243481896
Amsterdam,52.3731663,4.8906596
Leiden,52.1610869,4.4901527
Wintelre,51.4428155,5.3414286
Someren,51.385,5.7124
Riel,51.5234902,5.022989
Lommel,51.2284761,5.3137247
Vlijmen,51.7,5.233333
Cox,51.4124,5.75151
Lieshout,51.5179095,5.5951634
Esch,51.616667,5.3
Cromvoirt,51.666667,5.233333
Haaren,51.6,5.233333
Hilvarenbeek,51.4857,5.1384
Vlierden,51.45,5.766667
Veghel,51.616667,5.55
Son,51.516667,5.5
Reusel,51.366667,5.166667
Steensel,51.3767802,5.3540827
Maren,51.7918185,5.3800699
Land,51.53194444,5.40833333
Bakel,51.5041189,5.7412193
Breda,51.583333,4.783333
Maastricht,50.8498466,5.6872594
Hoogeloon,51.3971867,5.2681824
Berghem,51.77,5.574722
Heukelom,51.5770406,5.1620449
Herpen,51.77167,5.64167
Ginneken,51.567,4.817
Antwerp,51.217,4.4
Kessel,51.8,5.4
Luyksgestel,51.289732,5.320111
Halsteren,51.5285051,4.266029
Westerhoven,51.331481,5.3982305
Kerkhoven,51.585,5.18333333
Mechelen,51.016667,4.466667
Retie,51.2673375,5.084273
Herpt,51.7308446,5.1572921
Oerle,51.4219996,5.3698721
Berlicum,51.6780077,5.3995593
Pekel,53.10613,7.02208
Sint-Michielsgestel,51.6413,5.3529
Bergeijk,51.316667,5.35
Zandoerle,51.4146604,5.3584352
Vorstenbosch,51.65,5.55
Woensel,51.483333,5.466667
Helmond,51.4805851,5.6537722
Arnhem,51.9851,5.8987
Nijmegen,51.8416922,5.858651
Bocholtz,50,6
Spa,50.4923646,5.863251
Nieuwkuijk,51.6908244,5.1789963
Vierlingsbeek,51.59888513,6.006557882
Loon,51.666667,5.033333
Eindhoven,51.4365957,5.4780014
Enschot,51.58846102,5.146353549
Milheeze,51.5029814,5.7790553
Drunen,51.6859936,5.1304101
Alphen,51.4846962,4.9546389
Zaltbommel,51.813575,5.2479086
Zandstraat,51.265833,3.810278
Empel,51.731111,5.327222
Megen,51.823534,5.5638373
Best,51.5078,5.3978
Duizel,51.3685304,5.2986957
Budel,51.2734344,5.5763357
Peer,51.1329566,5.4517468
Winkel,52.7544902,4.9025841
Rotterdam,51.30902,5.43794
Sprang,51.6699283,5.049123
Alem,51.7882491,5.3415557
Deuteren,51.6868747,5.2706125
Cuijk,51.733333,5.883333
Deurne,51.46576934,5.794894722
Liempde,51.5677049,5.3740615
Halder,51.650001,5.31667
Hedel,51.7467431,5.2612111
Diessen,51.4755647,5.1754948
Leende,51.3498291,5.5521943
Boerdonk,51.5604114,5.6285942
Dordrecht,51.8115501,4.666361
Sambeek,51.635899,5.9659843
Gorinchem,51.833333,4.983333
Veere,51.55,3.5
Dinther,51.6476678,5.4810506
Bokhoven,51.7368902,5.2325382
Aalst,51.396389,5.476667
Heusden,51.73790556,5.16029783
Driel,51.9610044,5.8145071
Etten,51.5869,4.6671
Poppel,51.4462439,5.0395848
Almkerk,51.766667,4.966667
Sint-Andries,51.2,3.183333
Olmen,51.1419636,5.1485646
Linter,50.8,5.05
Heel,51.1780671,5.8958906
Coesfeld,51.945242,7.170004
